id,user_id,review,recommend,likes,funny,playtime,created_at,review_length,playtime_hours,created_date
1,76561198082903972,이 게임을 정말 좋아해서 스팀 모바일 아이패드 스위치로 구매해서 플레이했는데 아직도 다 했다는 기분이 들지 않는다 좀 더 해봐야 알 것 같음,1,19,10,126106,2026-05-05 09:28:03,78,2101.8,2026-05-05
193,76561199101402541,모드없이 1500시간 넘게 한 유저입니다 막노동 게임 좋아하시면 이보다 좋은 게임은 없을 것이라 생각하고요 업뎃도 안 할 것 같이 굴면서 쫌쫌따리 계속 해주는 효자겜이고 질리면 새계정 파서 첨부터 다시 굴리고 리텍 정도는 좀 바꿔주고 이러면 저는 진짜 안 질리더라구요 걍 돈 버는데 눈 벌게 져서 하루종일 뺑이 치고있어요 많은 분들이 이미 이 게임을 해보셨고 원래 인기 많은 게임이지만 혹시 새로 시작하신다면 모드 없이 해보시는 걸 정말정말정말 추천드립니다 치트도 비추 치트나 모드 하다보면 물자에 대한 감각이 초반부터 떨어져서 더 쉽게 질리실 것 같다는 생각이 듭니다 모드로 광산 밀고 모드로 농작물 키우고 이런 것보다 진짜 내 농장 내 농산물 나의 가축들이라는 마음으로 키우다보면 진엔딩 볼때 너무 뿌듯해져요 정말 추천드립니다 빨리 샌디 클린트랑도 연애하고 싶어요,1,0,0,93771,2026-04-20 11:14:40,429,1562.8,2026-04-20
74,76561198807275842,솔직히 이제 슬슬 컨텐츠 부족한거같아요,1,0,0,90744,2026-05-08 01:51:29,21,1512.4,2026-05-08
158,76561199260360028,돌고 돌아 스타듀밸리 부랑자마냥 이 게임 저 게임 다 해봤는데 이만한 힐링게임이 없어요,1,0,1,79458,2026-04-24 19:15:38,48,1324.3,2026-04-24
150,76561198194176119,인생게임입니다 한번 시작하면 시간 가는 줄 모르고 하게 되네요 모드도 종류가 많아서 바닐라 엔딩 보고 나서 스토리 확장 모드도 할 수 있고 리텍도 다양해서 안질려요 세일 자주 하니까 세일할때 사시는 거 추천,1,6,0,70254,2026-03-19 04:14:07,115,1170.9,2026-03-19
115,76561198268468230,스듀 대단할 줄 알았는데 별거 아니네,1,3,0,70131,2026-05-14 18:09:40,20,1168.8,2026-05-14
139,76561198141311801,내 시간을 삭제시킴,1,0,0,58413,2026-05-13 18:26:32,10,973.6,2026-05-13
164,76561199771919592,정말 할때마다 이게 인생이구나 싶은 게임이에요 질릴때면 대확장이나 릿지깔아서도 하고 이것 저것모드 쓰고 옷도 이쁘게 꾸미고 연애 텍스트 다양하게 하는 것들도 깔면서 연애하고 결혼하니까 정말 살맛나네요,1,0,0,57208,2026-04-06 18:24:19,111,953.5,2026-04-06
64,76561199208598373,뭐야 얼마 못했네 나 왜캐 애정이 부족한거같지 스듀에ㅠㅠ,1,0,0,55190,2026-05-21 05:53:31,31,919.8,2026-05-21
22,76561199751436902,이 게임은 타인에게 추천할만 합니다 모드로 추가되는 무한한 컨텐츠는 이 게임의 크나큰 장점입니다 단지 npc와의 상호작용 동물과의 상호작용이 적은 것이 이 게임의 유일한 단점입니다 이것이 개선된다면 이 게임은 더 높은 평가를 받을 것입니다,1,0,0,54823,2026-05-18 23:18:46,133,913.7,2026-05-18
